timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719902193007,574,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-5,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,574,0,0
1719902193582,1059,HTTP Request-1,200,OK,CollegeStudents 1-5,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1039,0,0
1719902193245,1567,HTTP Request,200,OK,CollegeStudents 1-6,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,336,0,0
1719902193245,336,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-6,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,336,0,0
1719902193581,1231,HTTP Request-1,200,OK,CollegeStudents 1-6,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1201,0,0
1719902192924,2081,HTTP Request,200,OK,CollegeStudents 1-4,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,659,0,0
1719902192924,659,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-4,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,659,0,0
1719902193583,1422,HTTP Request-1,200,OK,CollegeStudents 1-4,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1397,0,0
1719902192622,2556,HTTP Request,200,OK,CollegeStudents 1-9,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,958,0,0
1719902192622,958,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-9,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,958,0,0
1719902193581,1597,HTTP Request-1,200,OK,CollegeStudents 1-9,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1557,0,0
1719902192687,2760,HTTP Request,200,OK,CollegeStudents 1-3,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,896,0,0
1719902192687,896,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-3,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,896,0,0
1719902193583,1864,HTTP Request-1,200,OK,CollegeStudents 1-3,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1837,0,0
1719902194044,1758,HTTP Request,200,OK,CollegeStudents 1-2,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,555,0,0
1719902194044,555,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-2,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,555,0,0
1719902194599,1203,HTTP Request-1,200,OK,CollegeStudents 1-2,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1179,0,0
1719902193629,2205,HTTP Request,200,OK,CollegeStudents 1-10,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,970,0,0
1719902193629,970,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-10,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,970,0,0
1719902194599,1235,HTTP Request-1,200,OK,CollegeStudents 1-10,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1209,0,0
1719902193638,2470,HTTP Request,200,OK,CollegeStudents 1-1,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,961,0,0
1719902193638,961,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-1,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,961,0,0
1719902194599,1509,HTTP Request-1,200,OK,CollegeStudents 1-1,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1472,0,0
1719902194275,1993,HTTP Request,200,OK,CollegeStudents 1-7,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,327,0,0
1719902194275,327,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-7,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,327,0,0
1719902194602,1666,HTTP Request-1,200,OK,CollegeStudents 1-7,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1636,0,0
1719902194037,2667,HTTP Request,200,OK,CollegeStudents 1-8,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,565,0,0
1719902194037,565,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-8,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,565,0,0
1719902194602,2102,HTTP Request-1,200,OK,CollegeStudents 1-8,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,2083,0,0
1719902194813,1956,HTTP Request,200,OK,CollegeStudents 1-6,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,951,0,0
1719902194813,951,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-6,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,951,0,0
1719902195765,1004,HTTP Request-1,200,OK,CollegeStudents 1-6,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,975,0,0
1719902194641,2354,HTTP Request,200,OK,CollegeStudents 1-5,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1123,0,0
1719902194641,1123,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-5,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,1123,0,0
